,result_com,result_com_num,result_com_per,gain_mean,gain_median
0,1.0,1300,6.880127017729558,1167.3846153846155,845.0
1,2.0,1021,5.403545911616829,1271.3712047012732,880.0
2,3.0,715,3.7840698597512565,1992.3636363636363,1380.0
3,4.0,499,2.6409102937284996,2769.318637274549,1910.0
4,5.0,1007,5.329452236041281,1553.982125124131,1180.0
5,6.0,916,4.847843344800212,1649.3231441048035,1150.0
6,7.0,656,3.4718179412543,1836.996951219512,1135.0
7,8.0,442,2.3392431860280496,3015.3619909502263,2240.0
8,9.0,767,4.05927494046044,1692.425032594524,1180.0
9,10.0,682,3.609420481608891,1898.8123167155425,1340.0
10,11.0,499,2.6409102937284996,2765.0901803607217,1780.0
11,12.0,368,1.9476051865572903,3323.6684782608695,2065.0
12,13.0,416,2.2016406456734585,3733.7259615384614,2655.0
13,14.0,433,2.291611537443768,4031.5242494226327,2380.0
14,15.0,306,1.6194760518655729,5387.712418300654,3500.0
15,16.0,200,1.0584810796507014,6124.9,3890.0
16,17.0,195,1.0320190526594337,7194.307692307692,4540.0
17,18.0,174,0.92087853929611,6891.494252873563,4540.0
18,19.0,176,0.9314633500926172,7866.704545454545,4930.0
19,20.0,115,0.6086266207991532,8761.739130434782,5580.0
20,21.0,416,2.2016406456734585,3319.110576923077,2300.0
21,22.0,349,1.8470494839904736,3800.143266475645,2330.0
22,23.0,246,1.3019317279703626,5743.617886178862,3380.0
23,24.0,184,0.9738025932786452,6305.489130434783,3900.0
24,25.0,162,0.857369674517068,7375.061728395061,5765.0
25,26.0,101,0.5345329452236042,8088.514851485149,4930.0
26,27.0,96,0.5080709182323365,11546.770833333334,5150.0
27,28.0,82,0.4339772426567875,10532.80487804878,7210.0
28,29.0,128,0.6774278909764487,8550.3125,5175.0
29,30.0,92,0.4869012966393226,10125.652173913044,6320.0
30,31.0,71,0.37576078327599893,13205.492957746479,7940.0
31,32.0,48,0.25403545911616826,15823.541666666666,10380.0
32,33.0,80,0.42339243186028047,12914.375,7430.0
33,34.0,56,0.2963747023021963,12837.5,6950.0
34,35.0,56,0.2963747023021963,15940.357142857143,10085.0
35,36.0,33,0.17464937814236572,21169.696969696968,10680.0
36,37.0,55,0.2910822969039428,13079.636363636364,10670.0
37,38.0,49,0.2593278645144218,17881.632653061224,6420.0
38,39.0,38,0.20111140513363324,19162.36842105263,11590.0
39,41.0,178,0.9420481608891241,5842.4157303370785,4605.0
40,42.0,294,1.5559671870865308,5034.659863945578,3220.0
41,43.0,206,1.0902355120402223,5584.611650485437,2920.0
42,44.0,134,0.7091823233659698,7940.746268656716,4500.0
43,45.0,116,0.6139190261974068,10769.568965517241,7960.0
44,46.0,117,0.6192114315956603,14105.128205128205,8820.0
45,47.0,73,0.38634559407250596,13279.86301369863,8190.0
46,48.0,75,0.396930404869013,19108.133333333335,12380.0
47,49.0,131,0.6933051071712093,9515.114503816794,6120.0
48,50.0,84,0.4445620534532946,14709.166666666666,8955.0
49,51.0,87,0.460439269648055,12177.011494252874,6890.0
50,52.0,91,0.4816088912410691,16153.076923076924,9960.0
51,53.0,92,0.4869012966393226,10160.869565217392,3945.0
52,54.0,67,0.3545911616829849,17069.850746268658,10340.0
53,55.0,66,0.34929875628473145,15504.39393939394,8780.0
54,56.0,40,0.21169621593014024,14620.25,9475.0
55,57.0,56,0.2963747023021963,19090.178571428572,9525.0
56,58.0,33,0.17464937814236572,22050.0,14170.0
57,59.0,53,0.2804974861074358,18810.56603773585,9400.0
58,60.0,35,0.18523418893887272,21803.428571428572,12560.0
59,61.0,219,1.1590367822175178,6611.187214611872,3420.0
60,62.0,176,0.9314633500926172,5910.340909090909,3300.0
61,63.0,209,1.1061127282349827,7552.2488038277515,4210.0
62,64.0,174,0.92087853929611,7632.586206896552,4050.0
63,65.0,124,0.6562582693834348,9909.516129032258,6335.0
64,66.0,65,0.3440063508864779,12429.538461538461,8980.0
65,67.0,90,0.4763164858428155,15003.0,11650.0
66,68.0,69,0.36517597247949196,16668.55072463768,9740.0
67,69.0,108,0.5715797830113787,10120.833333333334,6735.0
68,70.0,72,0.3810531886742524,17763.75,11480.0
69,71.0,76,0.4022228102672665,15935.263157894737,9945.0
70,72.0,68,0.3598835670812384,17821.176470588234,11460.0
71,73.0,126,0.6668430801799418,11342.460317460318,6335.0
72,74.0,86,0.4551468642498015,15132.441860465116,10285.0
73,75.0,76,0.4022228102672665,19300.78947368421,12990.0
74,76.0,93,0.49219370203757606,14840.10752688172,9690.0
75,77.0,88,0.4657316750463086,14864.886363636364,7620.0
76,78.0,53,0.2804974861074358,19080.754716981133,9060.0
77,79.0,43,0.22757343212490075,24727.674418604653,15680.0
78,80.0,51,0.26991267531092883,19394.313725490196,9160.0
79,81.0,122,0.6456734585869278,12481.22950819672,8515.0
80,82.0,120,0.6350886477904207,12401.833333333334,7010.0
81,83.0,94,0.4974861074358296,16138.297872340425,10795.0
82,84.0,74,0.39163799947075945,17587.567567567567,12090.0
83,85.0,80,0.42339243186028047,19554.0,10720.0
84,86.0,47,0.2487430537179148,22994.68085106383,14290.0
85,87.0,27,0.14289494575284467,22393.333333333332,13670.0
86,88.0,33,0.17464937814236572,28053.636363636364,18270.0
87,89.0,62,0.3281291346917174,17625.0,8470.0
88,90.0,45,0.23815824292140775,22519.11111111111,12660.0
89,91.0,31,0.1640645673458587,21493.548387096773,16800.0
90,92.0,37,0.19581899973537972,21168.108108108107,15840.0
91,93.0,64,0.33871394548822437,18534.84375,14265.0
92,94.0,48,0.25403545911616826,25803.541666666668,17760.0
93,95.0,27,0.14289494575284467,24385.925925925927,17090.0
94,96.0,41,0.21698862132839375,28232.926829268294,21420.0
95,97.0,45,0.23815824292140775,22341.11111111111,12530.0
96,98.0,21,0.11114051336332365,33795.23809523809,27780.0
97,99.0,23,0.12172532415983064,27892.608695652172,19270.0
98,100.0,23,0.12172532415983064,36973.913043478264,37120.0
99,101.0,58,0.3069595130987034,21852.58620689655,14440.0
100,102.0,41,0.21698862132839375,16135.121951219513,10390.0
101,103.0,39,0.20640381053188675,19211.79487179487,10860.0
102,104.0,23,0.12172532415983064,27586.521739130436,21260.0
103,105.0,39,0.20640381053188675,23745.128205128207,16010.0
104,106.0,29,0.1534797565493517,29414.827586206895,23250.0
105,107.0,32,0.16935697274411218,31910.0,24930.0
106,108.0,17,0.0899708917703096,30502.941176470587,25200.0
107,109.0,29,0.1534797565493517,28694.137931034482,18630.0
108,110.0,15,0.07938608097380259,34436.666666666664,23820.0
109,111.0,20,0.10584810796507012,25038.5,13205.0
110,112.0,20,0.10584810796507012,31699.5,23865.0
111,113.0,28,0.14818735115109816,27392.14285714286,20845.0
112,114.0,22,0.11643291876157714,25630.909090909092,16145.0
113,115.0,19,0.10055570256681662,31925.263157894737,29440.0
114,116.0,14,0.07409367557554908,27782.14285714286,16920.0
115,117.0,28,0.14818735115109816,38014.642857142855,33990.0
116,118.0,12,0.06350886477904207,29418.333333333332,22150.0
117,119.0,12,0.06350886477904207,35729.166666666664,34955.0
118,120.0,11,0.05821645938078857,37500.90909090909,31200.0
